ipAddress,driverPath,driverName,printerName
"10.0.1.206","\\tait-fsit\disks\Printers\Win7x64\RicohC6501SP\oemsetup.inf","PCL6 Driver for Universal Print","2nd Floor Copier - Ricoh C6501SP"
"10.0.1.119","\\tait-fsit\disks\Printers\Win7x64\LanierLD365c\OEMSETUP.INF","E-7200 PCL 6","3rd Floor Copier - Lanier 365c"
"10.0.1.134","\\tait-fsit\disks\Printers\Win7x64\RicohMPC3500\RICSETUP.INF","RICOH Aficio MP C3500 PS","E-World  Copier - Ricoh MP C3500"
"10.0.1.111","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","RocknRoll Brother HL-4150CDN"
"10.0.1.120","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","Production Brother HL-4150CDN"
"10.0.1.121","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","Planning Brother HL-4150CDN"
"10.0.1.127","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","Inventory Brother HL-4150CDN"
"10.0.1.129","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","IT Brother HL-4150CDN"
"10.0.1.130","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","Accounting Brother HL-4150CDN"
"10.0.1.135","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","2nd Floor Reception Brother HL-4150CDN"
"10.0.1.137","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","HR Brother HL-4150CDN"
"10.0.1.139","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","E-World Brother HL-4150CDN"
"10.0.1.142","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4150CDN series","Shipping Brother HL-4150CDN"
"10.0.1.115","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","CNC Brother HL-4570CDW"
"10.0.1.117","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","Accounting Brother HL-4570CDW"
"10.0.1.122","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","3rd Floor Reception Brother HL-4570CDW"
"10.0.1.124","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","Administration Brother HL-4570CDW"
"10.0.1.125","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","PM Brother HL-4570CDW"
"10.0.1.131","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","Purchasing Brother HL-4570CDW"
"10.0.1.138","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","3rd Floor Design 1 Brother HL-4570CDW"
"10.0.1.144","\\tait-fsit\disks\Printers\Win7x64\BrotherHL-4150_70CDN\BROCHB0A.INF","Brother HL-4570CDW series","3rd Floor Design 2 Brother HL-4570CDW"
